Date,Open,High,Low,Close,Adj Close,Volume
2016-08-10,807.049988,810.880005,806.489990,808.489990,808.489990,918500
2016-08-11,810.469971,813.880005,806.000000,808.200012,808.200012,1281200
2016-08-12,805.090027,807.190002,803.640015,807.049988,807.049988,897300
2016-08-15,807.210022,811.359985,804.030029,805.960022,805.960022,929800
2016-08-16,803.500000,804.260010,797.000000,801.190002,801.190002,1057900
2016-08-17,800.000000,805.630005,796.299988,805.419983,805.419983,1066100
2016-08-18,805.359985,808.000000,801.630005,802.750000,802.750000,864600
2016-08-19,799.789978,801.229980,796.880005,799.650024,799.650024,1120800
2016-08-22,798.510010,799.299988,794.330017,796.950012,796.950012,852800
2016-08-23,800.479980,801.000000,795.989990,796.590027,796.590027,917500
2016-08-24,796.859985,798.460022,790.760010,793.599976,793.599976,1283600
2016-08-25,792.000000,794.719971,787.229980,791.299988,791.299988,1202700
2016-08-26,792.489990,799.400024,789.409973,793.219971,793.219971,1248900
2016-08-29,793.049988,798.520020,790.320007,795.820007,795.820007,766500
2016-08-30,792.880005,798.000000,789.469971,791.919983,791.919983,1167400
2016-08-31,789.599976,791.570007,787.200012,789.849976,789.849976,1071400
2016-09-01,791.979980,792.890015,786.330017,791.400024,791.400024,1303500
2016-09-02,795.270020,797.099976,793.260010,796.869995,796.869995,1349900
2016-09-06,798.390015,810.890015,795.429993,808.020020,808.020020,1989500
2016-09-07,807.929993,810.599976,803.719971,807.989990,807.989990,1145300
2016-09-08,805.219971,808.419983,801.010010,802.840027,802.840027,1175200
2016-09-09,798.770020,801.750000,788.049988,788.479980,788.479980,1887600
2016-09-12,784.520020,800.169983,783.500000,798.820007,798.820007,1863700
2016-09-13,794.010010,795.789978,784.330017,788.719971,788.719971,1809000
2016-09-14,787.530029,796.330017,787.530029,790.460022,790.460022,1292100
2016-09-15,790.010010,803.650024,788.659973,801.229980,801.229980,1557200
2016-09-16,799.020020,799.020020,793.619995,797.969971,797.969971,2130600
2016-09-19,801.109985,803.989990,793.559998,795.390015,795.390015,1146700
2016-09-20,800.000000,802.750000,798.260010,799.780029,799.780029,1049200
2016-09-21,801.260010,805.909973,796.030029,805.030029,805.030029,1348500
2016-09-22,810.000000,819.059998,807.710022,815.950012,815.950012,1759300
2016-09-23,815.140015,817.000000,812.729980,814.960022,814.960022,1411700
2016-09-26,809.820007,810.080017,800.450012,802.650024,802.650024,1472700
2016-09-27,801.830017,813.489990,801.830017,810.729980,810.729980,1367300
2016-09-28,804.080017,810.250000,802.780029,810.059998,810.059998,1470300
2016-09-29,807.229980,813.909973,800.859985,802.640015,802.640015,1350000
2016-09-30,803.599976,808.090027,801.500000,804.059998,804.059998,1660200
2016-10-03,802.549988,803.539978,796.229980,800.380005,800.380005,1489200
2016-10-04,805.000000,806.500000,799.669983,802.789978,802.789978,1258700
2016-10-05,806.000000,808.500000,800.710022,801.229980,801.229980,1213800
2016-10-06,804.080017,806.950012,800.510010,803.080017,803.080017,1099900
2016-10-07,805.929993,805.940002,796.820007,800.710022,800.710022,1163100
2016-10-10,803.929993,817.380005,802.239990,814.169983,814.169983,1488500
2016-10-11,814.169983,819.859985,807.369995,809.570007,809.570007,1721600
2016-10-12,811.960022,814.500000,808.549988,811.770020,811.770020,907900
2016-10-13,806.070007,806.559998,798.619995,804.080017,804.080017,1369000
2016-10-14,807.450012,810.090027,802.320007,804.599976,804.599976,1111900
2016-10-17,805.989990,813.489990,803.830017,806.840027,806.840027,1056400
2016-10-18,814.210022,828.809998,813.330017,821.489990,821.489990,2273700
2016-10-19,822.880005,829.799988,822.880005,826.840027,826.840027,1500100
2016-10-20,827.559998,828.469971,820.549988,821.630005,821.630005,1393900
2016-10-21,820.000000,824.289978,818.309998,824.059998,824.059998,1615800
2016-10-24,830.090027,837.940002,829.039978,835.739990,835.739990,1447600
2016-10-25,838.500000,838.500000,825.299988,828.549988,828.549988,1890700
2016-10-26,827.119995,827.710022,816.349976,822.099976,822.099976,1794900
2016-10-27,823.010010,826.580017,814.609985,817.349976,817.349976,2973500
2016-10-28,829.940002,839.000000,817.000000,819.559998,819.559998,4354900
2016-10-31,822.429993,822.630005,808.000000,809.900024,809.900024,2242700
2016-11-01,810.869995,813.960022,798.260010,805.479980,805.479980,2355900
2016-11-02,806.760010,806.760010,785.000000,788.419983,788.419983,2350700
2016-11-03,784.500000,790.000000,778.630005,782.190002,782.190002,2175200
2016-11-04,771.299988,788.479980,771.000000,781.099976,781.099976,1970600
2016-11-07,794.950012,805.000000,792.900024,802.030029,802.030029,1992600
2016-11-08,802.030029,816.039978,799.619995,811.979980,811.979980,1754700
2016-11-09,801.830017,811.710022,792.039978,805.590027,805.590027,3098500
2016-11-10,810.000000,810.059998,768.229980,780.289978,780.289978,5909600
2016-11-11,776.809998,777.289978,765.539978,771.750000,771.750000,3592600
2016-11-14,771.760010,771.780029,743.590027,753.219971,753.219971,3672000
2016-11-15,765.469971,780.239990,765.219971,775.159973,775.159973,2943900
2016-11-16,770.419983,783.500000,766.330017,779.979980,779.979980,1794300
2016-11-17,782.500000,788.900024,779.849976,786.159973,786.159973,1533700
2016-11-18,787.169983,791.289978,775.349976,775.969971,775.969971,1806300
2016-11-21,778.099976,786.549988,776.299988,784.799988,784.799988,1630800
2016-11-22,788.989990,793.770020,783.739990,785.000000,785.000000,1394200
2016-11-23,789.520020,789.520020,772.650024,779.000000,779.000000,1310500
2016-11-25,782.609985,782.900024,778.190002,780.229980,780.229980,613500
2016-11-28,778.349976,799.739990,778.099976,785.789978,785.789978,2575400
2016-11-29,788.380005,796.440002,785.340027,789.440002,789.440002,1562000
2016-11-30,789.099976,791.510010,773.150024,775.880005,775.880005,2279100
2016-12-01,778.549988,778.599976,753.359985,764.330017,764.330017,2867100
2016-12-02,761.900024,770.500000,759.000000,764.460022,764.460022,1718800
2016-12-05,770.000000,780.000000,766.969971,778.219971,778.219971,1688500
2016-12-06,780.190002,785.280029,773.320007,776.179993,776.179993,1734100
2016-12-07,779.950012,792.000000,773.530029,791.469971,791.469971,2029400
2016-12-08,792.950012,799.000000,787.909973,795.169983,795.169983,1612500
2016-12-09,799.299988,809.950012,798.049988,809.450012,809.450012,1904500
2016-12-12,804.820007,811.349976,804.530029,807.900024,807.900024,1628600
2016-12-13,812.390015,824.299988,811.940002,815.340027,815.340027,2128200
2016-12-14,815.919983,824.260010,812.780029,817.890015,817.890015,1799700
2016-12-15,817.359985,823.000000,812.000000,815.650024,815.650024,1769700
2016-12-16,818.309998,819.200012,808.119995,809.840027,809.840027,2589100
2016-12-19,809.280029,816.219971,804.500000,812.500000,812.500000,1263600
2016-12-20,813.369995,816.489990,811.000000,815.200012,815.200012,1271900
2016-12-21,815.719971,815.719971,805.099976,812.200012,812.200012,1459600
2016-12-22,809.099976,811.070007,806.030029,809.679993,809.679993,1131600
2016-12-23,808.010010,810.969971,805.109985,807.799988,807.799988,764100
2016-12-27,808.679993,816.000000,805.799988,809.929993,809.929993,976000
2016-12-28,813.330017,813.330017,802.440002,804.570007,804.570007,1214800
2016-12-29,802.330017,805.750000,798.140015,802.880005,802.880005,1056500
2016-12-30,803.210022,803.289978,789.619995,792.450012,792.450012,1735900
2017-01-03,800.619995,811.440002,796.890015,808.010010,808.010010,1959000
2017-01-04,809.890015,813.429993,804.109985,807.770020,807.770020,1515300
2017-01-05,807.500000,813.739990,805.919983,813.020020,813.020020,1340500
2017-01-06,814.989990,828.960022,811.500000,825.210022,825.210022,2017100
2017-01-09,826.369995,830.429993,821.619995,827.179993,827.179993,1406800
2017-01-10,827.070007,829.409973,823.140015,826.010010,826.010010,1197400
2017-01-11,826.619995,829.900024,821.469971,829.859985,829.859985,1325400
2017-01-12,828.380005,830.380005,821.010010,829.530029,829.530029,1349500
2017-01-13,831.000000,834.650024,829.520020,830.940002,830.940002,1290200
2017-01-17,830.000000,830.179993,823.200012,827.460022,827.460022,1439700
2017-01-18,829.799988,829.809998,824.080017,829.020020,829.020020,1027700
2017-01-19,829.000000,833.000000,823.960022,824.369995,824.369995,1070500
2017-01-20,829.090027,829.239990,824.599976,828.169983,828.169983,1306200
2017-01-23,831.609985,845.539978,828.700012,844.429993,844.429993,2457400
2017-01-24,846.979980,851.520020,842.280029,849.530029,849.530029,1688400
2017-01-25,853.549988,858.789978,849.739990,858.450012,858.450012,1655400
2017-01-26,859.049988,861.000000,850.520020,856.979980,856.979980,3493300
2017-01-27,859.000000,867.000000,841.900024,845.030029,845.030029,3752500
2017-01-30,837.059998,837.229980,821.030029,823.830017,823.830017,3516900
2017-01-31,819.500000,823.070007,813.400024,820.190002,820.190002,2020200
2017-02-01,824.000000,824.000000,812.250000,815.239990,815.239990,2251000
2017-02-02,815.000000,824.559998,812.049988,818.260010,818.260010,1689200
2017-02-03,823.130005,826.130005,819.349976,820.130005,820.130005,1528100
2017-02-06,820.919983,822.390015,814.289978,821.619995,821.619995,1350900
2017-02-07,825.500000,831.919983,823.289978,829.229980,829.229980,1666600
2017-02-08,830.530029,834.250000,825.109985,829.880005,829.880005,1302200
2017-02-09,831.729980,831.979980,826.500000,830.059998,830.059998,1194200
2017-02-10,832.950012,837.150024,830.510010,834.849976,834.849976,1415100
2017-02-13,837.700012,841.739990,836.250000,838.960022,838.960022,1295700
2017-02-14,839.770020,842.000000,835.830017,840.030029,840.030029,1296300
2017-02-15,838.809998,841.770020,836.219971,837.320007,837.320007,1357200
2017-02-16,838.500000,842.690002,837.260010,842.169983,842.169983,1005100
2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
2017-02-21,847.989990,852.200012,846.549988,849.270020,849.270020,1260300
2017-02-22,848.000000,853.789978,846.710022,851.359985,851.359985,1224400
2017-02-23,851.080017,852.619995,842.500000,851.000000,851.000000,1386700
2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
2017-02-27,844.950012,850.669983,843.010010,849.669983,849.669983,1010300
2017-02-28,847.349976,848.830017,841.440002,844.929993,844.929993,1383100
2017-03-01,851.380005,858.000000,849.020020,856.750000,856.750000,1818700
2017-03-02,856.309998,856.489990,848.719971,849.849976,849.849976,1250900
2017-03-03,848.940002,850.820007,844.710022,849.080017,849.080017,1005000
2017-03-06,846.859985,848.940002,841.169983,847.270020,847.270020,1047900
2017-03-07,847.260010,853.330017,845.520020,851.150024,851.150024,1038700
2017-03-08,853.119995,856.929993,851.250000,853.640015,853.640015,1028800
2017-03-09,853.690002,860.710022,852.669983,857.840027,857.840027,1347700
2017-03-10,862.700012,864.229980,857.609985,861.409973,861.409973,1336600
2017-03-13,860.830017,867.130005,860.820007,864.580017,864.580017,1166600
2017-03-14,863.750000,867.580017,860.130005,865.909973,865.909973,1061700
2017-03-15,867.940002,869.880005,861.299988,868.390015,868.390015,1332900
2017-03-16,870.530029,872.710022,867.520020,870.000000,870.000000,1104500
2017-03-17,873.679993,874.419983,868.369995,872.369995,872.369995,1868300
2017-03-20,869.479980,870.340027,864.669983,867.909973,867.909973,1542200
2017-03-21,870.059998,873.469971,847.690002,850.140015,850.140015,2538000
2017-03-22,849.479980,855.349976,847.000000,849.799988,849.799988,1366700
2017-03-23,841.390015,841.690002,833.000000,839.650024,839.650024,3287700
2017-03-24,842.000000,844.000000,829.099976,835.140015,835.140015,2105700
2017-03-27,828.090027,841.380005,824.299988,838.510010,838.510010,1934600
2017-03-28,839.690002,845.400024,832.270020,840.630005,840.630005,1519200
2017-03-29,842.750000,851.590027,841.380005,849.869995,849.869995,1457300
2017-03-30,851.979980,852.000000,846.770020,849.479980,849.479980,949400
2017-03-31,846.830017,849.559998,845.239990,847.799988,847.799988,1441000
2017-04-03,848.750000,859.000000,847.530029,856.750000,856.750000,1969400
2017-04-04,848.000000,853.000000,847.510010,852.570007,852.570007,1348500
2017-04-05,854.710022,860.590027,847.520020,848.909973,848.909973,1855200
2017-04-06,849.500000,853.590027,844.000000,845.099976,845.099976,1533600
2017-04-07,845.000000,845.880005,837.299988,842.099976,842.099976,1111600
2017-04-10,841.539978,846.739990,840.789978,841.700012,841.700012,1046200
2017-04-11,841.700012,844.630005,834.599976,839.880005,839.880005,974300
2017-04-12,838.460022,843.719971,837.590027,841.460022,841.460022,1135800
2017-04-13,841.039978,843.729980,837.849976,840.179993,840.179993,1073700
2017-04-17,841.380005,855.640015,841.030029,855.130005,855.130005,1049100
2017-04-18,852.539978,857.390015,851.250000,853.989990,853.989990,936200
2017-04-19,857.390015,860.200012,853.530029,856.510010,856.510010,1080300
2017-04-20,859.739990,863.929993,857.500000,860.080017,860.080017,1188800
2017-04-21,860.619995,862.440002,857.729980,858.950012,858.950012,1172900
2017-04-24,868.440002,879.960022,866.109985,878.929993,878.929993,1696500
2017-04-25,882.260010,892.250000,879.280029,888.840027,888.840027,2038000
2017-04-26,891.390015,892.989990,885.150024,889.140015,889.140015,1323300
2017-04-27,890.000000,893.380005,887.179993,891.440002,891.440002,2342300
2017-04-28,929.000000,935.900024,923.219971,924.520020,924.520020,3797800
2017-05-01,924.150024,935.820007,920.799988,932.820007,932.820007,2327800
2017-05-02,933.270020,942.989990,931.000000,937.090027,937.090027,1751300
2017-05-03,936.049988,950.200012,935.210022,948.450012,948.450012,1824800
2017-05-04,950.289978,959.140015,947.369995,954.719971,954.719971,1937600
2017-05-05,956.719971,958.440002,948.099976,950.280029,950.280029,1615500
2017-05-08,947.450012,960.989990,947.400024,958.690002,958.690002,1876700
2017-05-09,961.330017,962.200012,954.400024,956.710022,956.710022,1687900
2017-05-10,956.219971,956.710022,949.840027,954.840027,954.840027,1146000
2017-05-11,951.289978,957.989990,948.609985,955.890015,955.890015,1031100
2017-05-12,957.849976,957.979980,952.059998,955.140015,955.140015,1214900
2017-05-15,955.289978,962.700012,952.820007,959.219971,959.219971,1337700
2017-05-16,963.549988,965.900024,960.349976,964.609985,964.609985,1101500
2017-05-17,959.700012,960.989990,940.059998,942.169983,942.169983,2449100
2017-05-18,943.200012,954.179993,941.270020,950.500000,950.500000,1800500
2017-05-19,952.820007,959.559998,952.000000,954.650024,954.650024,1360300
2017-05-22,957.000000,964.820007,956.559998,964.070007,964.070007,1387400
2017-05-23,969.960022,974.510010,964.500000,970.549988,970.549988,1545400
2017-05-24,975.260010,978.119995,971.630005,977.609985,977.609985,1133000
2017-05-25,979.000000,995.780029,977.820007,991.859985,991.859985,1954100
2017-05-26,992.000000,996.390015,987.359985,993.270020,993.270020,1636400
2017-05-30,992.500000,997.619995,991.359985,996.169983,996.169983,1516200
2017-05-31,996.210022,999.599976,981.679993,987.090027,987.090027,1724100
2017-06-01,990.960022,993.140015,981.289978,988.289978,988.289978,1306400
2017-06-02,988.590027,996.479980,987.070007,996.119995,996.119995,1735500
2017-06-05,997.890015,1007.400024,995.450012,1003.880005,1003.880005,1378900
2017-06-06,1003.309998,1008.609985,994.799988,996.679993,996.679993,1552100
2017-06-07,999.090027,1003.909973,995.869995,1001.500000,1001.500000,1374100
2017-06-08,1004.229980,1005.599976,996.619995,1004.280029,1004.280029,1679900
2017-06-09,1005.489990,1005.500000,953.369995,970.119995,970.119995,3647900
2017-06-12,958.719971,968.000000,936.799988,961.809998,961.809998,4202100
2017-06-13,972.039978,977.909973,962.010010,970.500000,970.500000,2005400
2017-06-14,975.500000,979.700012,959.510010,967.929993,967.929993,1505500
2017-06-15,948.020020,960.679993,940.369995,960.179993,960.179993,2427600
2017-06-16,957.909973,959.950012,948.700012,958.619995,958.619995,2559200
2017-06-19,969.650024,979.299988,968.200012,975.219971,975.219971,1468800
2017-06-20,975.309998,980.789978,968.200012,968.989990,968.989990,1297300
2017-06-21,970.789978,979.549988,969.450012,978.590027,978.590027,1161600
2017-06-22,976.869995,980.500000,973.309998,976.619995,976.619995,1009500
2017-06-23,975.500000,986.619995,974.460022,986.090027,986.090027,1564000
2017-06-26,990.000000,993.989990,970.330017,972.090027,972.090027,1517900
2017-06-27,961.599976,967.219971,947.090027,948.090027,948.090027,2443600
2017-06-28,950.659973,963.239990,936.159973,961.010010,961.010010,2745600
2017-06-29,951.349976,951.659973,929.599976,937.820007,937.820007,3206700
2017-06-30,943.989990,945.000000,929.609985,929.679993,929.679993,2287700
